DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"78525",78525,Mk10,11/03/2010 05:35:44.215000000000003,GPS,,-49.97259521,72.42133331,,,,,,,,,
"78525",78525,Mk10,11/03/2010 06:03:42.219999999999999,GPS,,-49.96974182,72.44532776,,,,,,,,,
"78525",78525,Mk10,11/03/2010 06:31:39.675000099999998,GPS,,-49.96617126,72.47066498,,,,,,,,,
"78525",78525,Mk10,11/03/2010 06:56:42.2600002,GPS,,-49.96563339,72.49205780,,,,,,,,,
"78525",78525,Mk10,11/03/2010 07:25:26.1850001,GPS,,-49.96584702,72.51262665,,,,,,,,,
"78525",78525,Mk10,11/03/2010 07:55:48.240000199999997,GPS,,-49.97167206,72.53662109,,,,,,,,,
"78525",78525,Mk10,11/03/2010 08:21:53.265000200000003,GPS,,-49.97992706,72.55281830,,,,,,,,,
"78525",78525,Mk10,11/03/2010 08:50:24.480000199999999,GPS,,-50.08348465,72.46651459,,,,,,,,,
"78525",78525,Mk10,11/03/2010 09:17:18.295000300000002,GPS,,-49.99902725,72.59337616,,,,,,,,,
"78525",78525,Mk10,11/03/2010 09:42:10.770000400000001,GPS,,-50.00701141,72.61398315,,,,,,,,,
"78525",78525,Mk10,11/03/2010 10:09:59.415000499999998,GPS,,-50.01643372,72.63168335,,,,,,,,,
"78525",78525,Mk10,11/03/2010 10:36:59.7800005,GPS,,-50.02824783,72.65177155,,,,,,,,,
"78525",78525,Mk10,11/03/2010 11:03:28.795000699999999,GPS,,-50.03730774,72.67089844,,,,,,,,,
"78525",78525,Mk10,11/03/2010 11:31:58.815000599999998,GPS,,-50.04914856,72.69329071,,,,,,,,,
"78525",78525,Mk10,11/03/2010 12:00:45.300000599999997,GPS,,-50.05950546,72.71779633,,,,,,,,,
"78525",78525,Mk10,11/03/2010 12:27:57.075000500000002,GPS,,-50.06918335,72.74223328,,,,,,,,,
"78525",78525,Mk10,11/03/2010 12:55:07.8100006999999998,GPS,,-50.07574463,72.75721741,,,,,,,,,
"78525",78525,Mk10,11/03/2010 13:22:20.855000799999999,GPS,,-50.08530045,72.77716827,,,,,,,,,
"78525",78525,Mk10,11/03/2010 13:46:59.830000900000002,GPS,,-50.09481812,72.79816437,,,,,,,,,
"78525",78525,Mk10,11/03/2010 14:37:55.055000900000003,GPS,,-50.11401367,72.84262085,,,,,,,,,
"78525",78525,Mk10,11/03/2010 15:04:48.950000899999999,GPS,,-50.12155533,72.86593628,,,,,,,,,
"78525",78525,Mk10,11/03/2010 15:31:39.865000999999999,GPS,,-50.13045120,72.89021301,,,,,,,,,
"78525",78525,Mk10,11/03/2010 15:57:40.370001000000002,GPS,,-50.14152145,72.90660095,,,,,,,,,
"78525",78525,Mk10,11/03/2010 16:23:17.465001000000001,GPS,,-50.15130615,72.92272949,,,,,,,,,
"78525",78525,Mk10,11/03/2010 16:49:28.410001099999999,GPS,,-50.16137314,72.93402863,,,,,,,,,
"78525",78525,Mk10,11/03/2010 17:16:12.515001099999999,GPS,,-50.17015457,72.94994354,,,,,,,,,
